new_label,old_label
0,action
37,shopping
20,food_&_drink
8,business
15,education
21,health_&_fitness
31,personalization
15,education
28,music_&_audio
8,business
42,tools
17,entertainment
29,news_&_magazines
31,personalization
20,food_&_drink
15,education
24,lifestyle
17,entertainment
36,role_playing
7,books_&_reference
15,education
42,tools
43,travel_&_local
43,travel_&_local
11,casual
20,food_&_drink
40,sports
31,personalization
31,personalization
37,shopping
26,medical
24,lifestyle
21,health_&_fitness
42,tools
28,music_&_audio
21,health_&_fitness
31,personalization
39,social
4,auto_&_vehicles
17,entertainment
8,business
34,puzzle
29,news_&_magazines
20,food_&_drink
27,music
42,tools
21,health_&_fitness
31,personalization
20,food_&_drink
8,business
8,business
7,books_&_reference
42,tools
7,books_&_reference
33,productivity
28,music_&_audio
33,productivity
41,strategy
17,entertainment
28,music_&_audio
0,action
28,music_&_audio
19,finance
43,travel_&_local
24,lifestyle
31,personalization
19,finance
31,personalization
23,libraries_&_demo
38,simulation
26,medical
28,music_&_audio
17,entertainment
32,photography
34,puzzle
15,education
43,travel_&_local
7,books_&_reference
8,business
42,tools
17,entertainment
21,health_&_fitness
29,news_&_magazines
11,casual
24,lifestyle
28,music_&_audio
47,word
31,personalization
14,dating
21,health_&_fitness
28,music_&_audio
19,finance
42,tools
38,simulation
40,sports
34,puzzle
42,tools
24,lifestyle
8,business
8,business
16,educational
24,lifestyle
2,arcade
15,education
20,food_&_drink
39,social
8,business
28,music_&_audio
7,books_&_reference
20,food_&_drink
39,social
20,food_&_drink
34,puzzle
15,education
34,puzzle
29,news_&_magazines
43,travel_&_local
24,lifestyle
15,education
43,travel_&_local
9,card
17,entertainment
24,lifestyle
8,business
17,entertainment
15,education
28,music_&_audio
17,entertainment
24,lifestyle
15,education
2,arcade
32,photography
20,food_&_drink
8,business
7,books_&_reference
38,simulation
28,music_&_audio
15,education
25,maps_&_navigation
45,video_players_&_editors
19,finance
16,educational
11,casual
34,puzzle
43,travel_&_local
13,communication
28,music_&_audio
7,books_&_reference
39,social
8,business
7,books_&_reference
28,music_&_audio
37,shopping
8,business
21,health_&_fitness
37,shopping
7,books_&_reference
34,puzzle
0,action
7,books_&_reference
34,puzzle
16,educational
43,travel_&_local
33,productivity
3,art_&_design
15,education
17,entertainment
8,business
9,card
28,music_&_audio
0,action
34,puzzle
31,personalization
42,tools
15,education
15,education
8,business
17,entertainment
26,medical
17,entertainment
37,shopping
35,racing
15,education
42,tools
43,travel_&_local
24,lifestyle
8,business
20,food_&_drink
28,music_&_audio
30,parenting
21,health_&_fitness
21,health_&_fitness
15,education
33,productivity
13,communication
24,lifestyle
43,travel_&_local
7,books_&_reference
4,auto_&_vehicles
33,productivity
13,communication
28,music_&_audio
42,tools
37,shopping
42,tools
8,business
2,arcade
28,music_&_audio
33,productivity
23,libraries_&_demo
45,video_players_&_editors
42,tools
8,business
2,arcade
33,productivity
37,shopping
39,social
15,education
8,business
15,education
43,travel_&_local
7,books_&_reference
39,social
